,VarName,Description,Root_DF,Start,End,DataFrame,recursion_flag
0,SC7,Smoker,Screening,0,0,ncsr,0
1,SC8_1,Physical health rating,Screening,1,1,ncsr,0
2,SC8_2,Mental health rating,Screening,2,2,ncsr,0
3,SC9A,General health status compared to year ago,Screening,3,3,ncsr,0
4,SC9B,General health how much better/worse than year ago,Screening,4,4,ncsr,0
5,SC9C,Frequency trouble sleeping or staying asleep,Screening,5,5,ncsr,0
6,SC9D,"Frequency bothered by nervousness, fidgety, tense",Screening,6,6,ncsr,0
7,SC9E,Frequency bothered by headaches,Screening,7,7,ncsr,0
8,SC9F,Frequency of loss of appetite,Screening,8,8,ncsr,0
9,SC9G,Freq bothered by upset stomach,Screening,9,9,ncsr,0
10,SC9H,Extent health probs put in risk of dying earlier than age grp,Screening,10,10,ncsr,0
11,SC9_01,Freq of vig activity in summer greater than 15min,Screening,11,11,ncsr,0
12,SC9_02,Freq of vig activity in winter greater than 15min,Screening,12,12,ncsr,0
13,SC9_03,Freq of mod activity in summer greater than 30min,Screening,13,13,ncsr,0
14,SC9_04,Freq of mod activity in winter greater than 30min,Screening,14,14,ncsr,0
15,SC9_1,# days past month PH/MH/SU limit daily activities,Screening,15,15,ncsr,0
16,SC10_1A,Difficulty in learn/remember/concentrate due to condition,Screening,16,16,ncsr,0
17,SC10_1B,Difficulty getting along with others due to condition,Screening,17,17,ncsr,0
18,SC10_1C,Difficulty dress/bathe/getting around house due to cond,Screening,18,18,ncsr,0
19,SC10_1D,Difficulty leave home alone/go doctor due to condition,Screening,19,19,ncsr,0
20,SC10_1E,Difficulty working at job/business due to condition,Screening,20,20,ncsr,0
21,SC10_1F,Difficulty participating in school/housework/daily activities,Screening,21,21,ncsr,0
22,SC10_1H,Limited in past 3 months due to health problem,Screening,22,22,ncsr,0
23,SC10_2,Require help w/ personal care needs,Screening,23,23,ncsr,0
24,SC10_3,Require help w/ routine needs,Screening,24,24,ncsr,0
25,SC10_4D,Have learning disability,Screening,25,25,ncsr,0
26,SC10_4E,Have physical disability,Screening,26,26,ncsr,0
27,SC10_4F,Have cond that substantially limits physical activity,Screening,27,27,ncsr,0
28,SC10_4G,Have emotional/mental disability,Screening,28,28,ncsr,0
29,SC10_5C1,Learning disability:1st mention,Screening,29,29,ncsr,0
30,SC10_5C2,Learning disability:2nd mention,Screening,30,30,ncsr,0
31,SC10_5E1,Other physical disability:1st mention,Screening,31,31,ncsr,0
32,SC10_5E2,Other physical disability:2nd mention,Screening,32,32,ncsr,0
33,SC10_5E3,Other physical disability:3rd mention,Screening,33,33,ncsr,0
34,SC10_5E4,Other physical disability:4th mention,Screening,34,34,ncsr,0
35,SC10_5E5,Other physical disability:5th mention,Screening,35,35,ncsr,0
36,SC10_5E11,Learning disability:1st mention,Screening,36,36,ncsr,0
37,SC10_5E301,Mental illness:1st mention,Screening,37,37,ncsr,0
38,SC10_5E302,Mental illness:2nd mention,Screening,38,38,ncsr,0
39,SC10_5E303,Mental illness:3rd mention,Screening,39,39,ncsr,0
40,SC10_5E304,Mental illness:4th mention,Screening,40,40,ncsr,0
41,SC10_5E305,Mental illness:5th mention,Screening,41,41,ncsr,0
42,SC10_5E306,Mental illness:6th mention,Screening,42,42,ncsr,0
43,SC10_5E307,Mental illness:7th mention,Screening,43,43,ncsr,0
44,SC10_5I01,Mentioned mental or emotion disability:1st mention,Screening,44,44,ncsr,0
45,SC10_5I02,Mentioned mental or emotion disability:2nd mention,Screening,45,45,ncsr,0
46,SC10_5I03,Mentioned mental or emotion disability:3rd mention,Screening,46,46,ncsr,0
47,SC10_5I04,Mentioned mental or emotion disability:4th mention,Screening,47,47,ncsr,0
48,SC10_5I05,Mentioned mental or emotion disability:5th mention,Screening,48,48,ncsr,0
49,SC10_5I06,Mentioned mental or emotion disability:6th mention,Screening,49,49,ncsr,0
50,SC10_5I07,Mentioned mental or emotion disability:7th mention,Screening,50,50,ncsr,0
51,SC10_5I08,Mentioned mental or emotion disability:8th mention,Screening,51,51,ncsr,0
52,SC10_5I09,Mentioned mental or emotion disability:9th mention,Screening,52,52,ncsr,0
53,SC10_5I10,Mentioned mental or emotion disability:10th mention,Screening,53,53,ncsr,0
54,SC10_5I11,Mentioned mental or emotion disability:11th mention,Screening,54,54,ncsr,0
55,SC10_7AA1,What disability would they think you have:1st mention,Screening,55,55,ncsr,0
56,SC10_7A301,Mental illness:1st mention,Screening,56,56,ncsr,0
57,SC10_7A302,Mental illness:2nd mention,Screening,57,57,ncsr,0
58,SC10_8B,How long had these difficulties mentioned,Screening,58,58,ncsr,0
59,SC10_8B1,"Difficulties unit of time, SC10.8B",Screening,59,59,ncsr,0
60,SC10_8B2,Had difficulties longer than 3 months,Screening,60,60,ncsr,0
61,SC10_8C,How long limited activity due to difficulties in 3 mths,Screening,61,61,ncsr,0
62,SC10_8C1,Limited activity unit of time,Screening,62,62,ncsr,0
63,SC10_8D,How long assisted care for personal/routine needs,Screening,63,63,ncsr,0
64,SC10_8D1,"Assisted care unit time, SC10.8D",Screening,64,64,ncsr,0
65,SC10_8D2,Has assisted care longer than 3 months,Screening,65,65,ncsr,0
66,SC10_8FF1,What phys or emo cond causes difficulty:1st mention,Screening,66,66,ncsr,0
67,SC10_8FF2,What phys or emo cond causes difficulty:2nd mention,Screening,67,67,ncsr,0
68,SC10_8F21,Learning disability:1st mention,Screening,68,68,ncsr,0
69,SC10_8F301,Mental illness:1st mention,Screening,69,69,ncsr,0
70,SC10_8F302,Mental illness:2nd mention,Screening,70,70,ncsr,0
71,SC10_8F303,Mental illness:3rd mention,Screening,71,71,ncsr,0
72,SC10_8F304,Mental illness:4th mention,Screening,72,72,ncsr,0
73,SC10_8F305,Mental illness:5th mention,Screening,73,73,ncsr,0
74,SC10_8F306,Mental illness:6th mention,Screening,74,74,ncsr,0
75,SC10_8F307,Mental illness:7th mention,Screening,75,75,ncsr,0
76,SC10_8GG1,Disability causes limitations past 3 mths:1st mention,Screening,76,76,ncsr,0
77,SC10_8GG2,Disability causes limitations past 3 mths:2nd mention,Screening,77,77,ncsr,0
78,SC10_8G301,Mental illness:1st mention,Screening,78,78,ncsr,0
79,SC10_8G302,Mental illness:2nd mention,Screening,79,79,ncsr,0
80,SC10_8HH1,Disab causes assist care for pers/rout needs:1st mention,Screening,80,80,ncsr,0
81,SC10_12A,How long activities limited because condition/problem,Screening,81,81,ncsr,0
82,SC10_12B,Unit of time activities limited,Screening,82,82,ncsr,0
83,SC10_12C,Activities limited longer than 3 months,Screening,83,83,ncsr,0
84,SC10_14,# describes amt health probs limit activities in past 3 mths,Screening,84,84,ncsr,0
85,SC19,Willing careful response for following questions,Screening,85,85,ncsr,0
86,SC20,Fear or panic attack leaving frightened/anxious/uneasy,Screening,86,86,ncsr,0
87,SC20A,Attack leads to phys symptoms/loss control/dire outcome,Screening,87,87,ncsr,0
88,SC20_1,Anger attack leading to breaking item of some value,Screening,88,88,ncsr,0
89,SC20_2,Anger attack leading to hitting/attempt hitting person,Screening,89,89,ncsr,0
90,SC20_3,Anger attack leading to threat of harm to person,Screening,90,90,ncsr,0
91,SC21,Sad/empty/depressed for several day period,Screening,91,91,ncsr,0
92,SC22,Discouraged about life for several day period,Screening,92,92,ncsr,0
93,SC23,Lost interest in enjoyable things for several day period,Screening,93,93,ncsr,0
94,SC24,Energetic/restless/talkative/unusual behavior period,Screening,94,94,ncsr,0
95,SC25,Irritable/grumpy/bad mood for several day period,Screening,95,95,ncsr,0
96,SC25A,Irritation led to shout/argue/hit for several day period,Screening,96,96,ncsr,0
97,SC26,Worried more than others about same problems,Screening,97,97,ncsr,0
98,SC26A,More nervous/anxious than most with same problems,Screening,98,98,ncsr,0
99,SC26B,Anxious/worried most days for one month or more,Screening,99,99,ncsr,0
100,SC26_1,Family worried about health due to excess smoking,Screening,100,100,ncsr,0
101,SC26_2,Family worried or compl about drug/alcohol use,Screening,101,101,ncsr,0
102,SC26_3,Alcohol/drug use caused problems/argue with others,Screening,102,102,ncsr,0
103,SC26_4,Alcohol/drugs interfered with responsibilities,Screening,103,103,ncsr,0
104,SC27A,"Strong fear of bugs, snakes, animals",Screening,104,104,ncsr,0
105,SC27B,Strong fear of still water/weather events,Screening,105,105,ncsr,0
106,SC27C,Strong fear of going to doc or hosp/injections/blood/injury,Screening,106,106,ncsr,0
107,SC27D,Strong fear of closed spaces,Screening,107,107,ncsr,0
108,SC27E,Strong fear of heights,Screening,108,108,ncsr,0
109,SC27F,Strong fear of flying/airplanes,Screening,109,109,ncsr,0
110,SC27_2,Upset/nervous when faced specified fear(s),Screening,110,110,ncsr,0
111,SC27_3,Avoid situation(s) due to fear,Screening,111,111,ncsr,0
112,SC27_4,Think fear stronger than normal,Screening,112,112,ncsr,0
113,SC29,Extremely afraid or shy in social situations,Screening,113,113,ncsr,0
114,SC29A,Afraid/uncomfortable with public speaking,Screening,114,114,ncsr,0
115,SC29_1,Very upset/nervous in social sit or in front of group,Screening,115,115,ncsr,0
116,SC29_2,Avoid social sit or activity in front of group due to fear,Screening,116,116,ncsr,0
117,SC29_3,Think social fear stronger than normal,Screening,117,117,ncsr,0
118,SC30,Afraid of crowds/public places/traveling,Screening,118,118,ncsr,0
119,SC30_1,Upset/nervous when in crowds/public places/traveling,Screening,119,119,ncsr,0
120,SC30_2,Avoid crowds/public places/traveling due to fear,Screening,120,120,ncsr,0
121,SC30_3,Think fear stronger than normal,Screening,121,121,ncsr,0
122,SC31,6-10 more troub than most with concentration for 6+ mths,Screening,122,122,ncsr,0
123,SC32,Restless led to interrupt/troub wait turn 6+ mths in chldhd,Screening,123,123,ncsr,0
124,SC33,Freq in trouble with adults for 6+ mths in chldhd or adol,Screening,124,124,ncsr,0
