,VarName,Description,Root_DF,Start,End,DataFrame,recursion_flag
0,D37A,Age 1st depressed episode,Depression,225,225,ncsr,0
1,D37B,Estimate age 1st episode,Depression,226,226,ncsr,0
2,D42,Age had 1st year of episodes every month,Depression,244,244,ncsr,0
3,D47,Age at first year with episodes most days,Depression,248,248,ncsr,0
4,D59A,Age first time had a year of episodes most days,Depression,257,257,ncsr,0
5,D72A,Age first time talked to professional about sadness/discour,Depression,273,273,ncsr,0
6,D87A,Age 1st hospitalized overnight for sadness,Depression,276,276,ncsr,0
7,D37B1,Estimate age of 1st episode,Depression,277,277,ncsr,0
8,M18A,Age of 1st excited/grouchy episode + behav changes,Mania,319,319,ncsr,0
9,M18B1,Estimate age 1st excited/grouchy episode + behav changes,Mania,320,320,ncsr,0
10,M18B,Estimate age 1st excited/grouchy episode + behav changes,Mania,321,321,ncsr,0
11,M33A,Age 1st time talk to professional,Mania,355,355,ncsr,0
12,M45A,Age 1st time received helpful/effective treatment for episodes,Mania,357,357,ncsr,0
13,M48A,Age 1st time hospitalized overnight for episode,Mania,362,362,ncsr,0
14,IR20A,Age in years 1st irritable episode + other probs,Irritable_Depression,395,395,ncsr,0
15,IR20B1,Approximate age 1st irritable episode + other probs,Irritable_Depression,396,396,ncsr,0
16,IR56A,Age 1st talk to medical professional about irritability,Irritable_Depression,433,433,ncsr,0
17,IR68A,Age 1st time got helpful/effective treatment for irritability,Irritable_Depression,435,435,ncsr,0
18,IR71A,Age 1st time hospitalized overnight for irritability,Irritable_Depression,440,440,ncsr,0
19,PD9A,Age 1st attack,Panic_Disorder,470,470,ncsr,0
20,PD9B1,Estimate age 1st attack,Panic_Disorder,471,471,ncsr,0
21,PD15,Age 1st mth of worry/change activities/avoid sits due to attack,Panic_Disorder,485,485,ncsr,0
22,PD21B1,Age of 1st out of blue attack,Panic_Disorder,496,496,ncsr,0
23,PD50A,Age 1st see professional for attacks,Panic_Disorder,519,519,ncsr,0
24,PD62A,Age 1st got helpful treatment for attack,Panic_Disorder,521,521,ncsr,0
25,PD65A,Age 1st time hospitalized overnight for attacks,Panic_Disorder,526,526,ncsr,0
26,PD9B,Estimate age 1st attack-computed,Panic_Disorder,529,529,ncsr,0
27,PD21,Age 1st out of blue attack-computed,Panic_Disorder,530,530,ncsr,0
28,SP3A1,Age 1st time feared some type of animal,Specific_Phobia,533,533,ncsr,0
29,SP3C1,Age 1st avoided situations to see animals,Specific_Phobia,537,537,ncsr,0
30,SP5A1,Age 1st time fear of storm or still water,Specific_Phobia,541,541,ncsr,0
31,SP5C1,Age 1st avoid situation like storm or still water,Specific_Phobia,545,545,ncsr,0
32,SP7A1,Age 1st time fear doc/inject/blood/injury experience,Specific_Phobia,549,549,ncsr,0
33,SP7C1,Age 1st avoid doc/inject/blood/injury,Specific_Phobia,553,553,ncsr,0
34,SP9A1,Age 1st time feared closed spaces,Specific_Phobia,558,558,ncsr,0
35,SP9C1,Age 1st avoided closed spaces,Specific_Phobia,562,562,ncsr,0
36,SP11A1,Age 1st feared high places,Specific_Phobia,570,570,ncsr,0
37,SP11C1,Age 1st avoided high places,Specific_Phobia,574,574,ncsr,0
38,SP13A1,Age 1st feared flying,Specific_Phobia,582,582,ncsr,0
39,SP13C1,Age 1st avoided flying,Specific_Phobia,586,586,ncsr,0
40,SP27A,Age 1st talk to medical doc/professional about fear,Specific_Phobia,622,622,ncsr,0
41,SP38A,Age 1st received helpful/effective treatment for fear,Specific_Phobia,624,624,ncsr,0
42,SP41A,Age 1st hospitalized overnight for fear,Specific_Phobia,630,630,ncsr,0
43,SO3A,Age 1st fear of social situations,Social_Phobia,659,659,ncsr,0
44,ASO3B1,Estimate age of 1st social fear,Social_Phobia,660,660,ncsr,0
45,ASO6B1,Age 1st avoided social or perf sit due to fear-computed,Social_Phobia,663,663,ncsr,0
46,SO25A,Age 1st see professional for social fear,Social_Phobia,710,710,ncsr,0
47,SO36A,Age 1st received helpful treatment for social fear,Social_Phobia,712,712,ncsr,0
48,SO39A,Age 1st hospitalized overnight for social fear,Social_Phobia,717,717,ncsr,0
49,AG26B1,Estimate age 1st worry/anxious/nervous + other probs,Agoraphobia,721,721,ncsr,0
50,AG3A,Age 1st fear when being alone or in public situation,Agoraphobia,737,737,ncsr,0
51,AAG3B1,Estimate age 1st fears,Agoraphobia,738,738,ncsr,0
52,AAG6A1,Age 1st avoid public situations,Agoraphobia,750,750,ncsr,0
53,AG24A,Age 1st time talk professional for fear,Agoraphobia,787,787,ncsr,0
54,AG35A,Age 1st got helpful/effective treatment for fear,Agoraphobia,789,789,ncsr,0
55,AG38A,Age 1st time hospitalized overnight for fear,Agoraphobia,794,794,ncsr,0
56,G26A,Age 1st worry/anxious/nervous episode + other probs,Generalized_Anxiety_Disorder,860,860,ncsr,0
57,G44A,Age 1st talked to med professional about worry/anx/nerv,Generalized_Anxiety_Disorder,895,895,ncsr,0
58,G56A,Age 1st received helpful/effective trmt for worry/anx/nerv,Generalized_Anxiety_Disorder,897,897,ncsr,0
59,G59A,Age 1st hospitalized overnight for worry/anxious/nervous,Generalized_Anxiety_Disorder,902,902,ncsr,0
60,IED18B,Approx age 1st attack,Intermittent_Explosive_Disorder,927,927,ncsr,0
61,IED29A,Age 1st talk to profssional about anger attacks,Intermittent_Explosive_Disorder,951,951,ncsr,0
62,IED30A,Age 1st got helpful/effective treatment for anger,Intermittent_Explosive_Disorder,953,953,ncsr,0
63,IED33A,Age 1st hospitalized overnight for anger,Intermittent_Explosive_Disorder,958,958,ncsr,0
64,SD2A,Age 1st thought seriously about commiting suicide,Suicidality,961,961,ncsr,0
65,SD4A,Age 1st made suicide plan,Suicidality,965,965,ncsr,0
66,SD8,Age 1st time attempted suicide,Suicidality,970,970,ncsr,0
