,VarName,Description,Root_DF,Start,End,DataFrame,recursion_flag
0,D22A,Age worst episode began,Depression,171,171,ncsr,0
1,D22C,Age of last bad sadness/depressed episode,Depression,174,174,ncsr,0
2,D37A,Age 1st depressed episode,Depression,225,225,ncsr,0
3,D37B,Estimate age 1st episode,Depression,226,226,ncsr,0
4,D38C,Age last time with episode,Depression,240,240,ncsr,0
5,D42,Age had 1st year of episodes every month,Depression,244,244,ncsr,0
6,D47,Age at first year with episodes most days,Depression,248,248,ncsr,0
7,D59A,Age first time had a year of episodes most days,Depression,257,257,ncsr,0
8,D72A,Age first time talked to professional about sadness/discour,Depression,273,273,ncsr,0
9,D87A,Age 1st hospitalized overnight for sadness,Depression,276,276,ncsr,0
10,D37B1,Estimate age of 1st episode,Depression,277,277,ncsr,0
11,M6A,Age at irritable period with most behavioral changes,Mania,292,292,ncsr,0
12,M6C,Age most recent irritable period with most behav changes,Mania,295,295,ncsr,0
13,M18A,Age of 1st excited/grouchy episode + behav changes,Mania,319,319,ncsr,0
14,M18B1,Estimate age 1st excited/grouchy episode + behav changes,Mania,320,320,ncsr,0
15,M18B,Estimate age 1st excited/grouchy episode + behav changes,Mania,321,321,ncsr,0
16,M19D,Age last time excited/grouchy + behav episodes,Mania,331,331,ncsr,0
17,M33A,Age 1st time talk to professional,Mania,355,355,ncsr,0
18,M45A,Age 1st time received helpful/effective treatment for episodes,Mania,357,357,ncsr,0
19,M48A,Age 1st time hospitalized overnight for episode,Mania,362,362,ncsr,0
20,IR7A,Age worst episode occurred,Irritable_Depression,370,370,ncsr,0
21,IR20A,Age in years 1st irritable episode + other probs,Irritable_Depression,395,395,ncsr,0
22,IR20B1,Approximate age 1st irritable episode + other probs,Irritable_Depression,396,396,ncsr,0
23,IR21C,Age last time had irritable episode,Irritable_Depression,414,414,ncsr,0
24,IR56A,Age 1st talk to medical professional about irritability,Irritable_Depression,433,433,ncsr,0
25,IR68A,Age 1st time got helpful/effective treatment for irritability,Irritable_Depression,435,435,ncsr,0
26,IR71A,Age 1st time hospitalized overnight for irritability,Irritable_Depression,440,440,ncsr,0
27,PD7A,Age at attack,Panic_Disorder,464,464,ncsr,0
